title,nb_reviews,nb_positives,nb_negatives,score_moyen,keywords
A House of Dynamite,2,2,0,0.09,"film, nuclear, comes, house, viewers, one, it’s, well, kathryn, bigelow"
A League of Their Own,1,1,0,0.19,"baseball, league, first, time, piece, marshall, picture, never, drunk, babes"
A Man Called Otto,6,6,0,0.15,"film, hanks, otto, movie, tom, man, pretty, rather, two, called"
A Million Ways to Die in the West,2,1,1,-0.08,"funny, caution, ⚠, seriously, stupid, movie, well, chosen, cast, charlize"
A Minecraft Movie,10,9,1,0.21,"movie, much, really, world, black, like, long, momoa, isn’t, fun"
A Monster Calls,3,3,0,0.19,"film, even, also, well, monster, films, would, life, though, script"
A Night at the Roxbury,2,2,0,0.19,"movie, night, like, actually, also, skits, watching, even, ferrell, one"
A Rainy Day in New York,2,2,0,0.08,"quite, bit, day, new, york, gatsby, chalamet, fanning, though, maybe"
A Real Pain,5,5,0,0.16,"david, benji, two, eisenberg, way, doesn’t, culkin, real, one, time"
A Room with a View,2,2,0,0.26,"film, best, one, good, sands, century, story, set, romantic, british"
A Series of Unfortunate Events,1,0,1,-0.26,"movie, weird, good, bad, guess, watch, could, lot, better"
A Simple Favor,5,5,0,0.18,"film, emily, stephanie, however, simple, seems, know, doesnt, genre, mystery"
A Single Man,2,2,0,0.46,"firth, story, moore, though, interesting, well, edited, great, performances, good"
A Star Is Born,4,4,0,0.09,"film, story, maine, one, cooper, gaga, star, also, dont, way"
A Streetcar Named Desire,2,2,0,0.11,"blanche, stanley, movie, williams, streetcar, new, one, even, mitch, film"
A Thousand Words,1,1,0,0.11,"much, could, feels, emotional, nothing, thousand, words, solid, premise, something"
A Very Harold & Kumar 3D Christmas,2,2,0,0.11,"film, like, sex, harold, kumar, drugs, also, drug, movie, feels"
A Walk to Remember,1,1,0,0.23,"movie, film, unfairly, may, criticized, critics, truly, phenomenal, start, finish"
A Wrinkle in Time,4,2,2,0.05,"source, like, fans, great, going, material, made, movie, point, wrinkle"
About Schmidt,2,2,0,0.34,"life, grind, warren, jack, nicholson, road, new, also, de, niro"
About Time,5,4,0,0.33,"movie, good, time, people, love, family, great, life, film, focus"
About a Boy,3,3,0,0.19,"grant, one, marcus, film, hoult, much, life, hugh, quite, story"
Accepted,6,4,1,0.17,"movie, accepted, watch, concept, one, ridiculous, college, dont, fun, lot"
Ace Ventura: Pet Detective,2,2,0,0.3,"film, one, carrey, time, actor, movies, jim, movie, great, comedy"
Ace Ventura: When Nature Calls,2,2,0,0.24,"film, good, jim, carrey, poor, almost, inferior, much, humor, predictable"
Ad Astra,13,10,2,0.13,"film, space, one, ad, life, movie, roy, astra, gray, it’s"
Adams æbler,3,3,0,0.2,"ivan, adam, way, one, black, mikkelsen, making, like, film, –"
Adaptation.,2,1,1,0.02,"movies, one, make, characters, way, making, charlie, us, work, well"
Adventureland,1,1,0,0.05,"mottola, james, adventureland, film, made, one, summer, trying, make, friends"
After,3,1,2,0.02,"movie, ‘after’, it’s, even, chris, overall, least, hardin, weird, blend"
Aftersun,5,3,2,0.05,"movie, father, daughter, story, like, started, us, nothing, really, scenes"
Agora,2,2,0,0.18,"historical, film, agora, biopic, despite, movie, library, alexandria, accuracy, acting"
Ah-ga-ssi,3,3,0,0.29,"film, like, story, part, must, love, korea, even, best, well"
Ainda Estou Aqui,4,4,0,0.16,"family, disappeared, film, fernanda, torres, paiva, eunice, still, brazilian, military"
Air,6,6,0,0.24,"affleck, jordan, story, film, nike, history, air, ben, matt, damon"
Airplane!,4,3,1,0.12,"film, comedy, humor, comedies, pilot, american, also, work, everything, cinema"
Aladdin,11,11,0,0.25,"aladdin, movie, film, genie, one, it’s, original, williams, character, people"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",1,1,0,0.4,"movie, interesting, funny, storyline, better, actual, comedy, rare, good"
Alfie,2,2,0,0.1,"alfie, film, law, original, jude, charm, caine, story, alfies, 1966"
Ali G Indahouse,1,1,0,0.04,"im, ali, g, movie, really, gonna, stand, tell, indahouse, good"
All of Us Strangers,4,3,1,-0.02,"one, andrew, scott, two, men, film, it’s, see, story, much"
All the Bright Places,1,1,0,0.19,"film, story, us, make, care, violet, little, theodore, good, topics"
Allied,2,2,0,0.16,"film, spy, one, know, best, war, thriller, takes, shes, made"
Almost Famous,6,6,0,0.26,"music, rock, still, love, crowe, movie, rolling, one, stone, like"
Along Came a Spider,4,3,1,0.22,"cross, thriller, like, freeman, daughter, film, eyerolling, ‘big, reveal’, dc"
Alpha,2,1,1,0.04,"film, like, really, early, man, better, showing, box, office, hughes"
Alpha Dog,3,3,0,0.14,"film, dog, people, young, life, played, alpha, job, hes, timberlake"
Amarcord,1,1,0,0.09,"amarcord, nostalgic, journey, memories, small, italian, town, 30s, surreal, humor"
American Animals,1,1,0,0.12,"american, animals, hadve, known, advance, going, true, crime, doco, 95"
American Beauty,3,3,0,0.19,"beauty, film, wants, life, movie, son, small, back, like, every"
American Fiction,4,4,0,0.16,"film, one, well, brown, watch, movie, live, picture, jeffrey, wright"
American Graffiti,1,0,1,-0.02,"1962, 50s, cool, cars, killer, music, allstar, cast, stars, story"
American History X,7,1,6,-0.08,"message, miserably, people, like, guys, love, skinhead, film, failed, skinheads"
American Made,2,2,0,0.14,"film, one, made, american, seal, like, cruise, enjoyable, irancontra, barry"
American Pie,3,2,1,0.12,"like, really, girls, enough, makes, teen, movie, pie, get, sexually"
American Pie 2,2,1,1,0.06,"pie, comedy, american, sex, original, whilst, phone, it’s, 2, crude"
American Psycho,4,3,0,0.18,"movie, character, wall, street, one, american, wanted, psycho, important, murderer"
American Reunion,1,0,0,0.0,"back, ahh, gang, final, movie, wish, everyone, would, ended, way"
American Wedding,1,1,0,0.35,"stop, favorite, movie, whole, series, kept, cracking, non, throughout, still"
Amour,2,2,0,0.2,"it’s, drama, one, time, much, life, stroke, actors, watch, riva"
Amsterdam,4,4,0,0.23,"story, film, bale, find, great, cast, way, amsterdam, david, new"
An Education,1,1,0,0.23,"feel, jenny, molina, whose, life, david, hes, age, much, relationship"
An Inconvenient Truth,2,1,1,-0.05,"would, gore, al, campaign, lost, presidency, even, inconvenient, truth, money"
An Officer and a Gentleman,2,2,0,0.14,"zack, film, much, years, instructor, also, really, many, best, though"
Anchorman 2: The Legend Continues,1,1,0,0.49,"good, 1st, funny, either, ok, could, way, better"
Anchorman: The Legend of Ron Burgundy,1,1,0,0.4,"super, funny, love, movie, one, favorite, movies"
Anger Management,1,1,0,0.24,"pretty, window, good, movie, angry, mad, surprised, laughed, lot, whoss"
Anna Karenina,2,2,0,0.25,"story, good, stage, movie, one, people, lot, based, must, much"
Annie,1,1,0,0.22,"hannigan, life, warbucks, finney, decides, quinn, help, reward, curry, carol"
Annie Hall,4,4,0,0.32,"film, allen, like, woody, movie, best, many, people, one, diane"
Anomalisa,4,4,0,0.2,"film, like, one, life, animation, stopmotion, makes, character, going, stone"
Anora,8,8,0,0.21,"film, much, anora, it’s, sex, madison, story, mikey, one, baker"
Another Earth,2,2,0,0.16,"earth, science, like, fiction, characters, version, watch, different, made, rhoda"
Ant-Man and the Wasp,11,9,2,0.15,"movie, like, film, antman, wasp, fun, first, one, would, story"
Anthropoid,3,3,0,0.15,"film, much, one, assassination, story, mission, war, nazi, general, reinhard"
Anyone But You,3,3,0,0.18,"one, powell, sydney, sweeney, glen, bit, quite, though, best, parents"
Appaloosa,1,1,0,0.19,"harris, appaloosa, film, mortensen, also, story, zellweger, irons, cole, hitch"
Arctic,2,2,0,0.36,"mads, mikkelsen, seems, little, blank, slate, show, us, great, actor"
Argo,6,5,1,0.32,"movie, argo, film, one, would, affleck, best, good, story, iranian"
Arrival,12,10,2,0.17,"film, arrival, best, one, movie, like, alien, aliens, scifi, time"
Arthur Christmas,2,2,0,0.2,"santa, one, little, animation, voice, cast, name, though, james, mcavoy"
As Good as It Gets,3,3,0,0.11,"movie, nicholson, three, serious, feel, kinnear, finds, bit, dog, melvin"
Asteroid City,7,7,0,0.18,"film, wes, anderson, it’s, one, that’s, much, even, director, cast"
Atonement,2,2,0,0.12,"well, story, lie, joe, wright, knightley, robbie, man, briony, still"
Austin Powers in Goldmember,3,1,2,0.01,"film, powers, dr, evil, still, myers, addition, humor, like, doesnt"
Austin Powers: International Man of Mystery,2,2,0,0.1,"film, myers, powers, spy, good, although, cup, tea, popularity, time"
Awakenings,1,1,0,0.06,"it’s, robin, williams, robert, de, niro, based, true, bronx, hospital"
Babe,3,2,1,0.08,"film, animals, it’s, little, well, work, also, much, like, family"
Baby Driver,13,11,1,0.2,"baby, like, film, one, driver, music, movie, soundtrack, action, spacey"
Baby Mama,1,1,0,0.5,"freaking, hilarious, movie, 2, together, crack, like, snl"
Babygirl,5,4,1,0.12,"like, film, quite, much, real, nicole, kidman, something, antonio, banderas"
Babylon,5,5,0,0.21,"movie, film, robbie, pitt, brad, margot, characters, character, tale, around"
Bacheha-ye aseman,1,1,0,0.13,"sad, one, ali, emchildren, heavenem, quite, parts, though, ends, rather"
Bachelorette,1,0,1,-0.16,"movie, horrible, one, least, funny, comedies, ive, seen, life, dirty"
Back to the Future,7,6,0,0.24,"time, back, film, one, future, first, fox, films, movie, zemeckis"
Back to the Future Part II,5,5,0,0.2,"one, back, part, time, future, two, 1st, 2nd, still, come"
Bad Boys for Life,10,7,2,0.1,"action, bad, boys, film, movie, films, better, like, smith, scenes"
Bad Grandpa,1,1,0,0.07,"real, freaky, hilarious, see, peoples, reactions, something, think, crazy, make"
Bad Moms,3,3,0,0.34,"good, also, moms, though, kunis, hahn, middle, aged, single, audience"
Bad Teacher,1,1,0,0.09,"elizabeth, diaz, teacher, lot, funny, guy, bad, cameron, point, would"
Bad Words,1,1,0,0.03,"movie, something, one, way, movies, know, like, piece, twist, wanted"
Bajrangi Bhaijaan,1,1,0,0.42,"film, one, best, salman, khan, first, time, emotional, watching, waiting"
Barbie,18,17,0,0.2,"barbie, film, movie, world, ken, patriarchy, barbies, barbieland, robbie, women"
Basic Instinct,2,2,0,0.24,"film, verhoeven, one, would, douglas, curran, sharon, femme, fatale, crazed"
Batoru rowaiaru,1,1,0,0.15,"film, quite, good, 75100, japanese, government, sanctioned, contest, 9th, grade"
Battle of the Sexes,3,3,0,0.19,"king, stone, riggs, film, battle, carell, match, would, sexes, im"
Be Kind Rewind,1,1,0,0.18,"film, films, video, store, character, played, everything, unique, specimen, engages"
Bean,1,1,0,0.13,"film, bean, also, would, work, american, problems, success, reasonably, see"
Beastly,1,0,1,-0.08,"would, still, bloke, curse, placed, learns, instead, mean, creepy, absolutely"
Beautiful Boy,3,3,0,0.31,"david, nic, addiction, film, two, one, van, much, scene, carell"
Beautiful Creatures,3,2,1,0.0,"bad, copy, another, first, dont, beautiful, creatures, series, movies, two"
Becoming Jane,1,1,0,0.15,"jane, film, good, austen, one, books, parents, recognized, talent, know"
Bedtime Stories,2,2,0,0.28,"movie, bedtime, stories, film, adam, sandler, keri, russell, parents, children"
Bee Movie,1,1,0,0.18,"bee, movie, animated, half, barry, actually, one, hilarious, released, 2007"
Beerfest,2,1,1,0.15,"definitely, would, one, broken, lizards, strongest, entries, perhaps, classic, viewing"
Beetlejuice,7,6,1,0.26,"film, beetlejuice, michael, burton, keaton, screen, time, fun, tim, new"
Before Midnight,1,1,0,0.25,"effortless, charm, chemistry, still, actually, feels, realistic, despite, ups, downs"
Before Sunrise,2,2,0,0.24,"film, like, movie, human, feelings, train, two, actors, characters, first"
Before We Go,2,2,0,0.26,"film, chris, evans, night, one, like, two, friendship, adventure, many"
Before the Devil Knows You're Dead,2,2,0,0.06,"world, hawke, finney, hank, lumet, hoffman, problems, plan, family, andy"
Beginners,2,2,0,0.55,"us, movie, film, felt, story, told, interesting, relationship, really, great"
Behind the Candelabra,1,1,0,0.13,"liberace, much, didnt, douglas, lowe, terrific, first, foremost, admit, knew"
Being John Malkovich,3,3,0,0.2,"john, malkovich, movie, craig, maxine, lotte, highly, new, love, takes"
Being There,2,2,0,0.24,"without, film, sellers, house, world, even, good, people, life, home"
Belfast,4,4,0,0.26,"film, dench, child, like, street, buddy, judi, branagh, much, belfast"
Belle de jour,3,3,0,0.22,"deneuve, young, womans, life, pierre, bit, wonderful, fantasy, watch, catherine"
Bend It Like Beckham,1,1,0,0.19,"mother, jess, jules, love, thing, whilst, girls, team, game, quite"
Bernie,1,1,0,0.09,"bernie, really, like, jack, black, story, character, thats, film, plays"
Better Off Dead...,1,1,0,0.12,"still, film, stupid, teen, funny, girlfriend, like, halfhearted, advantage, –"
Bewitched,2,2,0,0.18,"movie, ferrell, bewitched, isabel, seems, jack, samantha, real, watching, ephron"
Big,2,2,0,0.39,"young, “josh”, well, new, self, machine, still, wish, course, home"
Big Daddy,3,3,0,0.27,"adam, sandler, movie, big, daddy, even, humor, like, watch, could"
Big Eyes,2,2,0,0.16,"big, film, eyes, story, margaret, adams, keane, paintings, husband, case"
Big Fish,2,2,0,0.22,"mcgregor, truth, young, one, finney, well, “will”, dad, maybe, two"
Bill & Ted Face the Music,3,2,1,0.17,"ted, bill, film, like, music, take, song, years, face, see"
Bill & Ted's Excellent Adventure,2,2,0,0.24,"fun, time, watched, adventure, like, arc, great, first, funny, happens"
Billy Elliot,1,1,0,0.18,"film, bit, class, bell, billy, jamie, boxing, walters, lewis, wayward"
Birdman or (The Unexpected Virtue of Ignorance),5,4,1,0.16,"movie, film, keaton, like, performance, birdman, really, movies, one, good"
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),19,14,4,0.11,"harley, movie, quinn, film, really, character, prey, birds, characters, one"
Black Bag,8,7,1,0.1,"it’s, film, spy, fassbender, thriller, blanchett, michael, work, soderbergh, one"
Black Mass,3,3,0,0.07,"us, depp, get, story, film, playing, making, black, mass, bulger"
Black Mirror: Bandersnatch,1,1,0,0.33,"like, twenty, minutes, ugh, really, get, meta, ass, time, done"
Black Swan,1,1,0,0.39,"film, want, deliciously, decadent, dark, piece, candy, natalie, portman, revelation"
BlackBerry,8,7,1,0.16,"film, blackberry, business, company, story, balsillie, movie, actually, world, also"
Blades of Glory,2,1,1,0.05,"movie, skating, figure, jokes, dont, story, watch, cant, one, like"
Blast from the Past,4,3,1,0.14,"movie, past, made, would, story, make, blast, one, 99, it’s"
Blazing Saddles,3,3,0,0.12,"im, one, generation, fact, dont, watch, racism, mel, brooks, happened"
Blended,2,2,0,0.2,"movie, sandler, silly, adam, barrymore, comedy, comedic, jokes, movies, enjoyed"
Blockers,1,1,0,0.27,"years, american, pie, sophisticated, era, parental, involvement, unexpectedly, gooddumbinthegoodway, sweet"
Blow,2,1,1,0.06,"millions, depp, cruz, molla, perform, characters, know, well, wont, disappointed"
Blue Ruin,2,2,0,0.4,"movie, wasnt, introduced, jeremy, saulnier, green, room, though, think, certainly"
Blue Valentine,3,3,0,0.09,"film, work, love, people, us, relationship, rather, go, many, romantic"
Blue Velvet,2,1,1,0.06,"lynch, hopper, rossellini, maclachlan, dern, found, even, one, film, i’m"
Bohemian Rhapsody,8,7,1,0.21,"one, film, queen, best, freddie, bohemian, rhapsody, great, malek, rami"
Bolt,3,3,0,0.15,"get, bolt, quite, television, bit, film, make, also, scenes, dog"
Bombshell,4,4,0,0.13,"film, fox, carlson, ailes, kelly, women, one, story, sexual, harassment"
Booksmart,11,11,0,0.23,"one, films, time, movie, booksmart, film, dever, feldstein, well, it’s"
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,3,3,0,0.16,"cohen, first, funny, borat, sacha, baron, still, bakalova, though, found"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,1,1,0,0.03,"he’s, say, get, isn’t, stereotype, population, meet, along, take, route"
Bottle Rocket,2,2,0,0.11,"wes, bottle, film, owen, wilson, anderson, always, rocket, one, andersons"
Bottoms,3,2,1,0.03,"school, get, funny, film, i’m, found, rachel, sennott, that’s, maybe"
Boy Erased,2,2,0,0.11,"film, jared, love, one, action, character, scene, edgerton, program, boy"
Boyz n the Hood,2,2,0,0.16,"one, film, black, south, central, story, singleton, us, movie, like"
Breach,1,1,0,0.24,"quite, hanssen, going, really, philippe, well, one, oneill, task, cooper"
Breakfast at Tiffany's,2,2,0,0.18,"time, could, though, entertaining, audrey, hepburn, thought, george, peppard, role"
Brick,3,3,0,0.18,"film, character, brendan, school, one, high, get, characters, another, rian"
Bride Wars,1,1,0,0.16,"film, emotional, bride, wars, weddings, conflict, full, remake, original, 2009"
Bridesmaids,3,3,0,0.32,"well, funny, really, movie, us, going, two, “rhodes”, it’s, think"
Bridge of Spies,7,7,0,0.32,"hanks, rylance, mark, one, spielberg, story, tom, great, film, good"
Bridge to Terabithia,2,2,0,0.3,"film, second, half, good, much, beautiful, movie, sweet, adorable, sad"
Bridget Jones's Baby,4,4,0,0.17,"it’s, two, one, enough, zellweger, firth, dempsey, much, even, “bridget”"
Bridget Jones's Diary,4,4,0,0.15,"zellweger, renée, hugh, grant, firth, like, well, film, say, colin"
Bridget Jones: The Edge of Reason,3,2,1,0.01,"theres, one, much, first, zellweger, film, wrong, still, renée, colin"
Brief Encounter,2,2,0,0.03,"brief, david, lean, railway, two, people, encounter, still, celia, johnson"
Bring It On,2,2,0,0.29,"toros, would, team, film, could, movie, cheerleader, missy, routine, clovers"
Brooklyn,2,2,0,0.3,"brooklyn, life, film, story, new, thats, saoirse, like, beautiful, love"
Brother Bear,2,2,0,0.22,"kenai, feel, young, doesnt, also, decent, pretty, though, whole, phil"
Brothers,2,1,1,-0.21,"one, movie, films, youve, seen, point, huge, difference, critics, viewers"
Bruce Almighty,3,3,0,0.27,"carrey, god, jim, one, bruce, carreys, favorite, nolan, film, funny"
Buffalo '66,2,2,0,0.08,"ricci, gallo, vincent, wife, story, love, new, two, well, maybe"
Bugonia,8,7,1,0.07,"like, plemons, film, bugonia, may, –, jesse, stone, movie, lanthimos"
Bullet Train,11,11,0,0.16,"train, action, film, pitt, one, movie, bullet, well, characters, fun"
Buried,4,4,0,0.26,"one, quite, really, phone, movie, claustrophobic, film, reynolds, hes, well"
Burn After Reading,1,1,0,0.37,"really, great, coen, brothers, seemed, enjoy, making, dark, comedy, ensemble"
Burnt,2,2,0,0.18,"like, movie, best, film, foods, beginning, well, makes, much, delicious"
But I'm a Cheerleader,2,2,0,0.26,"movie, one, characters, also, see, im, homestuck, make, get, definitely"
C'est arrivé près de chez vous,2,1,1,0.05,"film, violent, something, everything, also, like, killer, kills, public, character"
CODA,5,5,0,0.24,"family, deaf, film, story, movie, music, ruby, much, jones, one"
Cabaret,2,2,0,0.26,"film, best, cabaret, story, us, liza, see, michael, york, also"
Caché,1,1,0,0.19,"georges, lives, become, much, auteuil, wife, son, pierrot, pretty, family"
Café Society,1,1,0,0.13,"film, like, romance, end, woody, allen, hollywood, tale, half, whos"
Call Me by Your Name,3,3,0,0.25,"one, chalamet, film, time, really, seen, guadagnino, ivory, ive, hammer"
Calvary,1,1,0,0.23,"quite, cast, great, ensemble, gleeson, delivering, yet, another, fantastic, performance"
Can You Ever Forgive Me?,4,3,1,0.05,"israel, film, mccarthy, letters, jack, new, never, israels, people, york"
Can't Buy Me Love,2,2,0,0.22,"buy, school, rash, dramedy, dempsey, popular, peterson, good, film, cant"
Can't Hardly Wait,1,1,0,0.28,"one, ive, watched, many, times, years, still, fun, teen, movie"
Cape Fear,3,3,0,0.21,"film, cady, bowden, de, niro, also, robert, good, story, mitchum"
Capharnaüm,2,2,0,0.14,"zain, film, labaki, children, world, parents, yonas, like, dont, one"
Capote,1,1,0,0.21,"quite, hoffman, novel, rather, collins, man, wants, also, made, tick"
Captain Fantastic,3,3,0,0.47,"film, best, like, way, good, one, lots, kids, watch, final"
Carol,3,3,0,0.31,"movie, mara, blanchett, thing, oscars, rooney, cate, maybe, story, carol"
Cars,4,4,0,0.34,"film, good, quite, like, movie, really, one, also, lightning, theres"
Cars 2,5,4,1,0.1,"film, first, time, story, mater, mcqueen, good, lightning, films, much"
Cars 3,6,6,0,0.18,"film, like, one, mcqueen, films, animation, way, story, little, first"
Casablanca,4,4,0,0.26,"one, time, film, casablanca, films, rick, cast, part, years, best"
Casanova,1,0,1,-0.19,"childish, concepts, little, bit, ideological, like, costumes, atmosphere"
Cashback,1,0,1,-0.04,"sean, im, sure, film, biggerstaff, art, dumped, girlfriend, time, opportunity"
Cast Away,3,3,0,0.13,"hanks, noland, island, cast, away, film, plane, tom, zemeckis, christmas"
Catch Me If You Can,5,5,0,0.26,"film, abagnale, hanks, dicaprio, spielberg, story, frank, man, movie, fbi"
Cats,7,4,3,-0.03,"it’s, see, cats, movie, musical, made, could, film, good, even"
Central Intelligence,2,2,0,0.3,"film, central, intelligence, best, kevin, hart, story, end, dwayne, johnson"
Centurion,2,2,0,0.06,"–, …, quintus, roman, good, us, romans, speak, picts, fassbender"
Challengers,7,7,0,0.2,"story, challengers, film, tennis, zendaya, love, films, faist, tashi, well"
Chappie,1,1,0,0.15,"robot, film, like, real, role, movie, one, scifi, age, rules"
Charade,4,4,0,0.29,"grant, also, film, movie, hepburn, charade, coburn, kennedy, audrey, matthau"
Charlie Bartlett,1,1,0,0.11,"“charlie”, yelchin, school, downey, jr, little, mum, case, medication, one"
Charlie St. Cloud,1,1,0,0.52,"pretty, good, movie, kind, like, sixth, sense, case, though, see"
Charlie and the Chocolate Factory,2,2,0,0.29,"good, depp, well, johnny, really, movie, would, character, made, though"
Charlotte's Web,3,3,0,0.3,"little, life, fanning, story, lovely, character, dakota, quite, watch, like"
Chasing Amy,2,1,1,0.1,"film, situations, know, banky, woman, good, character, moving, funny, onedimensional"
Chhichhore,1,1,0,0.58,"movie, watch, anime, avarage, great, ok, suggest, eath, note, series37"
Chicago,4,4,0,0.24,"roxie, chicago, velma, gere, zetajones, zellweger, one, billy, roxies, women"
Chicken Run,4,4,0,0.27,"great, animation, escape, stopmotion, good, time, little, im, personally, love"
Children of Men,5,5,0,0.33,"theo, clive, end, owen, world, great, movie, scenes, may, one"
Chinatown,3,2,1,0.16,"film, nicholson, polanski, john, story, dunaway, time, noir, great, good"
Christmas with the Kranks,2,2,0,0.14,"christmas, fun, neighbors, found, especially, like, much, tim, allen, jamie"
Christopher Robin,2,2,0,0.21,"stuffed, simple, christopher, animal, cute, robin, daughter, grind, london, back"
Chronicle,3,2,1,0.06,"movie, andrew, camera, matt, found, one, party, steve, super, hes"
Chung Hing sam lam,4,3,1,0.07,"film, two, films, chungking, express, may, one, stories, expectations, it’s"
Cidade de Deus,2,2,0,0.13,"story, well, young, it’s, film, de, hope, lil, dog, running"
Cinderella,8,8,0,0.31,"james, story, movie, good, well, lily, disney, blanchett, watch, think"
Cinderella Man,3,3,0,0.17,"fight, well, max, also, story, boxing, baer, braddock, man, movie"
Citizen Kane,10,10,0,0.27,"film, movie, kane, welles, one, people, time, like, citizen, orson"
City Lights,1,1,0,0.04,"tramp, cherrill, chaplin, myers, series, morning, help, might, usual, especially"
City of Angels,2,1,0,0.04,"city, angels, seth, didnt, film, released, cage, angel, los, angeles"
City of Ember,1,1,0,0.26,"it’s, city, something, time, get, mayor, murray, ronan, treadaway, left"
Clerks,2,2,0,0.23,"film, really, independent, quite, great, comic, seen, friends, works, like"
Clerks II,1,1,0,0.09,"film, uninteresting, still, humor, first, rude, however, take, characters, jokes"
Click,1,1,0,0.48,"great, love, concept, movie, wish, use, girlfriend, would, adam, sandler"
Close,2,2,0,0.16,"film, love, close, boys, much, together, way, praise, comparison, léo"
Closer,3,3,0,0.11,"two, character, well, like, closer, four, jude, julia, portman, anna"
Cloudy with a Chance of Meatballs,1,1,0,0.13,"something, far, wheelhouse, certain, level, appreciation, cloudy, chance, meatballs, final"
