title,author,content
Battle,PeaceMeal,"If you liked a wacky crazy movie like Pulp Fiction, you'd like this movie - but with some key differences. But instead of the hero being a rightous Bruce Willis, ""One Battle"" has the ""hero"" being Leonardo as the gang member who is a violent leftist Antifa leader from the 70s who went into retirement to care for his daughter.

I can see why the actor's union voted for it as Best Motion Picture. Actors are a leftist open-border anti-corporate anti-conservative anti-religious anti-ICE group.

SUMMARY:
The ""good guys"" are Antifa members fighting police, the military and corporations.
The ""bad guys"" are the police and corporate execs which are all painted as ""white supremicists"" by the writer & director.

Again, a dream movie for wealthy woke Hollywood actors.

RATING: 7/10 for some crazy unpredictable events, but disliking their messaging."
The Shawshank Redemption,elshaarawy,very good movie 9.5/10 محمد الشعراوى
The Shawshank Redemption,John Chard,"Some birds aren't meant to be caged.

The Shawshank Redemption is written and directed by Frank Darabont. It is an adaptation of the Stephen King novella Rita Hayworth and Shawshank Redemption. Starring Tim Robbins and Morgan Freeman, the film portrays the story of Andy Dufresne (Robbins), a banker who is sentenced to two life sentences at Shawshank State Prison for apparently murdering his wife and her lover. Andy finds it tough going but finds solace in the friendship he forms with fellow inmate Ellis ""Red"" Redding (Freeman). While things start to pick up when the warden finds Andy a prison job more befitting his talents as a banker. However, the arrival of another inmate is going to vastly change things for all of them.

There was no fanfare or bunting put out for the release of the film back in 94, with a title that didn't give much inkling to anyone about what it was about, and with Columbia Pictures unsure how to market it, Shawshank Redemption barely registered at the box office. However, come Academy Award time the film received several nominations, and although it won none, it stirred up interest in the film for its home entertainment release. The rest, as they say, is history. For the film finally found an audience that saw the film propelled to almost mythical proportions as an endearing modern day classic. Something that has delighted its fans, whilst simultaneously baffling its detractors. One thing is for sure, though, is that which ever side of the Shawshank fence you sit on, the film continues to gather new fans and simply will never go away or loose that mythical status.

It's possibly the simplicity of it all that sends some haters of the film into cinematic spasms. The implausible plot and an apparent sentimental edge that makes a nonsense of prison life, are but two chief complaints from those that dislike the film with a passion. Yet when characters are this richly drawn, and so movingly performed, it strikes me as churlish to do down a human drama that's dealing in hope, friendship and faith. The sentimental aspect is indeed there, but that acts as a counterpoint to the suffering, degradation and shattering of the soul involving our protagonist. Cosy prison life you say? No chance. The need for human connection is never more needed than during incarceration, surely? And given the quite terrific performances of Robbins (never better) & Freeman (sublimely making it easy), it's the easiest thing in the world to warm to Andy and Red.

Those in support aren't faring too bad either. Bob Gunton is coiled spring smarm as Warden Norton, James Whitmore is heart achingly great as the ""Birdman Of Shawshank,"" Clancy Brown is menacing as antagonist Capt. Byron Hadley, William Sadler amusing as Heywood & Mark Rolston is impressively vile as Bogs Diamond. Then there's Roger Deakins' lush cinematography as the camera gracefully glides in and out of the prison offering almost ethereal hope to our characters (yes, they are ours). The music pings in conjunction with the emotional flow of the movie too. Thomas Newman's score is mostly piano based, dovetailing neatly with Andy's state of mind, while the excellently selected soundtrack ranges from the likes of Hank Williams to the gorgeous Le Nozze di Figaro by Mozart.

If you love Shawshank then it's a love that lasts a lifetime. Every viewing brings the same array of emotions - anger - revilement - happiness - sadness - inspiration and a warmth that can reduce the most hardened into misty eyed wonderment. Above all else, though, Shawshank offers hope - not just for characters in a movie - but for a better life and a better world for all of us. 10/10"
The Shawshank Redemption,tmdb73913433,Make way for the best film ever made people. **Make way.**
The Shawshank Redemption,thommo_nz,"There is a reason why this movie is at the top of any popular list your will find.
Very strong performances from lead actors and a story line from the literary brilliance of Stephen King (and no, its not a horror).
Sufficient drama and depth to keep you interested and occupied without stupefying your brain. It is the movie that has something for everyone."
The Shawshank Redemption,Andrew Gentry,"It's still puzzling to me why this movie exactly continues to appear in every single best-movies-of-all-time chart. There's a great story, perfect cast, and acting. It really moves me in times when I'm finding myself figuring out things with my annual tax routine reading <a href=""https://www.buzzfeed.com/davidsmithjd/what-is-form-w-2-and-how-does-it-work-3n31d"">this article</a>, and accidentally catching myself wondering what my life should be if circumstances had changed so drastically. This movie worth a rewatch by all means, but yet, there's no unique vibe or something - there are thousands of other ones as good as this one."
The Shawshank Redemption,Matthew Dixon,"I will not say that the film is predictable, because it is not quite so, due to the fact that we only know Andy’s intentions at the end, and during the film, it is important to understand that there was not a hint of it, but let's not forget our guys who so imprudently localized it. I will not be the first, but the word 'redemption' is translated as 'redemption'. I don’t know the reason why our localizers decided to spoil the impression to all Russian-speaking people."
The Shawshank Redemption,JPV852,"First time seeing this in probably close to 20 years, maybe longer. Forgot how excellent of a movie this was, amazing all around from the performances, Morgan Freeman and Tim Robbins especially, with a roller coaster of emotions. The writing (from Stephen King's novel) direction from Frank Darabont was precise and just all around fantastic. This is the very rare 5 star movies I've given but it is easily one of the best movies, right up there in my book with The Godfather. **5.0/5**"
The Shawshank Redemption,LƛȤƛƦꪡƬƑ,No 1 movie for all the time
The Shawshank Redemption,drystyx,"This is much more predictable and Hollywood than a King novel.
This story of another man wrongfully in prison for murder joins the list of about every other movie about a man sent to prison for murdering his wife.
And therein lies the problem. Most of the time, the killer is the husband, and most of the time the right man is in prison.
Juries are now doomed to consist of several people who are brainwashed by this constant propaganda Hollywood gives us and think accordingly.
People are not gods. They are souls and spirits that can only withstand so much brainwashing. 
Add to that, the story plods along with really nothing new to add. It's a very formula movie.
I won't say it is a ""bad movie"". Those are ones I give 1 or 2 out of 10. But 3/10 is what I call the very boring, unimaginative, safe, non thought provoking movies that you forget about quite quickly."
The Shawshank Redemption,Sanjeev0805,This movie is great
The Shawshank Redemption,CinemaSerf,"Tim Robbins is wealthy banker ""Andy Dufresne"" who finds himself sentenced to life imprisonment after his wife and her lover are found murdered. The handsome ""new fish"" is initially the target of the ""sisters"" who would use him as they would like - but he fights back and gradually establishes a friendship with prison ""scrounger"" Morgan Freeman (""Red""). When he overhears the beastly prison guard captain bemoaning some tax problems, he, rather riskily, volunteers to help find a tax-free solution and is soon advising pretty much the whole place - including ""Warden Norton"" (Bob Gunton) on all things financial - some above board, some less so. The film is set over a period of over ten years, and depicts some of the most brutal aspects of prison life; but also some it's more hopeful. It deals with violence and desperation but also of bonding and lasting friendships and loyalties that long term close-confinement engender. Frank Darabont elicits the best from his three principals superbly, with added venom provided by guard captain Clancy Brown and humanity from prison librarian James Whitmore - one of the few who actually does make parole. The last half hour is up there with the best cinema has ever had to offer, and this - again on a big screen - is a must see adaptation of one of Stephen King's lesser known, but better, stories that delivers a redemption never, quite, anticipated by the prison service!"
The Shawshank Redemption,dumasori,"**Watched it 32 times**

Call me obsessed, but I have watched this movie 32 times (and counting) over the past 2 decades. One may wonder why? It is because every time I watch this movie, I learn something new from it. For example, despite being such a good friend of Red, Andy never shares his plan with him. This taught me that discipline and focus is vital for success.

I can not praise enough the tight plot, direction, acting and everything. On my favorite movies list, this one certainly tops the chart."
The Shawshank Redemption,Angel Rodríguez,Amazing movie
The Shawshank Redemption,khanz1,"This movie is an absolute masterpiece, blending deep emotion and powerful storytelling. It follows the journey of a banker wrongfully imprisoned, whose enduring hope and resilience inspire everyone around him. His friendship with a fellow inmate is heartwarming and beautifully portrayed, capturing the essence of human connection. The film explores themes of redemption and the strength of the human spirit, leaving a lasting impact. With unforgettable performances and a story that resonates on so many levels, it’s a film that stays with you long after the credits roll. I can’t help but give it a 10/10."
The Shawshank Redemption,Leezan,"Simple, I would say, beauty in the art of cinematography and storytelling."
The Shawshank Redemption,sachin_13,"The Shawshank Redemption is a timeless masterpiece, blending powerful performances with a poignant narrative about hope and friendship. Tim Robbins and Morgan Freeman deliver unforgettable performances, creating a deeply emotional story of resilience and redemption. With its captivating plot and profound themes, it remains one of the greatest films ever made."
The Shawshank Redemption,RalphRahal,"The Shawshank Redemption is one of those timeless classics that pulls you in with its heartfelt storytelling and remarkable performances. At its core, it’s a story about hope, friendship, and the resilience of the human spirit, set against the bleak backdrop of Shawshank prison. Tim Robbins as Andy Dufresne and Morgan Freeman as Red deliver deeply moving performances, capturing the bond that grows between two men confined by walls but freed by hope. Every scene feels purposeful, and the script, adapted from Stephen King’s novella, is simply brilliant in how it weaves small moments into a powerful narrative.

One of the most unforgettable parts of the movie is Brooks’ storyline. Watching him leave the world he knew, only to find himself unable to adapt to a society that had progressed beyond his comprehension, is heartbreaking every time. It’s a stark reminder of how institutionalization can strip people of their ability to live freely, even after they've served their time. That moment, along with Red’s own journey, adds a bittersweet layer of realism to the story’s broader themes of freedom and redemption.

The direction by Frank Darabont is masterful, turning what could have been a straightforward prison drama into something deeply profound. The setting of Shawshank feels both oppressive and oddly serene, perfectly capturing the tone of the story. The simplicity of the plot is its strength, allowing the characters and their emotional arcs to take center stage. With its pitch-perfect pacing, poetic dialogue, and an uplifting finale, The Shawshank Redemption remains a film that resonates on every rewatch. It’s not just a movie; it’s an experience."
The Shawshank Redemption,Kelvin_ricky,**Wow amazing movie **
The Shawshank Redemption,GenerationofSwine,"Morgan Freeman plays a little red haired Irishman and no one cares.  No one cares, and now when people across the globe read this segment in Different Seasons, they read it in Morgan Freeman's voice.  It's sort of impossible not to.  

It was a race swap that not a single person complained about. It didn't really change the movie and one of the big reasons why it didn't change the movie was because the movie wasn't about the race swap and owning the fans of the IP like most every other race swap that people complain about and other people call them political buzz words for not loving... presumably while they secretly agree the movie's crap.

THIS IS HOW YOU DO IT HOLLYWOOD!!

I kind of want to be a dick and say that the reason this movie is so popular is because of Morgan Freeman's narration, I mean, you could give the guy an instruction manual to read and people would love it.

But then it's more than that.  The movie is popular because it's satisfying.  The good guys win, the bad guys lose, it tells a good story in a competent and compelling way.  It's pretty much what everyone wants in a movie... and as much as I usually hate King, the novella is satisfying and what everyone wants from a story.

So well done. You'll like this, and you'll like it because it is that good."
The Shawshank Redemption,M,"Hope, strength of character, self-worth and the loss of it at the same time… friendship, brotherhood, and every human emotion in this life 🤍.

On my first watch of this film, I had no idea about its ratings. Someone recommended it to me, and I started watching it just 15 minutes after that recommendation. When it ended, I felt I had just watched the best film of my life. When I later looked up its ratings, I discovered it ranks number one on many major review sites 👏 ,a well deserved achievement for such a great film."
Faces,Leno,"I remember the original faces of death was really trending when I was in elementary school and the children would ""smuggle"" their VHS to each other to scare the shit out of the other children. 

This movie is surprisingly good for a revisiting of faces of death. In a world where everything that matters is getting those likes in your social media posts, Margot goes to the extreme and sees her sister die in a dangerous attempt stunt to the camera. She later join the social media company to screen harmful content believing she could make a difference, but when she starts seeing videos reacting the faces of death segments that look real snuff movies, the company just doesn't give a shit. When trying to figure out where those videos are coming from by herself she gets tangled in the mess. 

The movie is overall pretty good, the only suspension of disbelief was that the characters must be deaf, because fights are breaking out in their house and no one seems to hear it??"
Faces,Chris Sawin,"You’d think that a horror film like Faces of Death would at least have some decent kills, but even those are uninspired and are more straightforward than anything else. Faces of Death feels like a lazy reboot; controversy has been replaced with apathy, and a cast of characters and performances you want nothing more than to reach through your screen and slap the s**t out of. Even the film’s meta aspects feel shoehorned in just to get that forced meme reaction: Leonardo DiCaprio enthusiastically pointing at the screen, a moment that is met instead with dizzying eye rolls and extreme facepalming.

https://bit.ly/DeadFace"
Faces,hmwalker,"Faces of Death for the social age, where gore and snuff are no longer regulated to behind the counter, illegally-sold Video Nasties, and cult film circles that shared videos around before early internet uploads. (Coincidentally I watch one such tape ‘Grave Robbing For Morons’, which think it a quaint little oddity). Point being, gore is mainstream now. What is shocking anymore? What offends? You can watch a fascist podcaster get slimed in 4K and tune in for your daily dose of live-streamed genocide now.

This a movie for the “All Fake” Tiktok caption era.

The mentions of Don’t Fuck With Cats, might seem slightly dated for 2026 as it was a doc that came out in 2019, but it absolutely works for me because I was actually shown one of Luka Magnotta’s snuff films in school - I vaguely remember him cutting a man up, before I turned away - it was that easily accessible. A Google search! Therefore I think the content moderation angle as a way into the discovery of the videos is a nice touch, I think it sells itself well, I’m sure people who do work similar jobs watch the craziest bullshit imaginable but just let shit go because they can’t be arsed to look into it more. Speaking of which, this could have very easily have become Red Rooms, if it went down a more “obsessed with the videos” route instead of doing one of my favourite horror tropes, A WOMAN INVESTIGATING AS PEOPLE THINK SHE’S CRAZY. Hey, if it ain’t broke! And Barbie Ferreira is a pretty solid Final Girl here too. 

Dacre Montgomery channels Tom Noonan‘s Francis Dolarhyde from Manhunter, with flares of Ted Levine’s Jame Gumb/Buffalo Bill, in a performance I just utterly love. Freaky psychos. Gotta love em. It is very much a Thomas Harris villain in a slasher coded setting. And just to be a slasher nerd, the white face mask reminds me of the killer in Edge of the Axe (1988). 

Overall, I’m shocked by this. I fucking loved it. It’s a slightly sleazy, 80s serial killer thriller - in the ilk of the previously mentioned Manhunter, Maniac, Henry: Portrait of a Serial Killer, etc. - meets a late-90s/early-00s post Scream slasher movie in the vain of Urban Legend with just the right amount of grittiness found in the original Saw and The Human Centipede. All complimentary. 

I am a die hard Scream fan. I just rated a new Faces of Death movie 5/5 and the latest Scream sequel 1/2 Star. Much to think about. 

#Fod2024"
Faces,Sierbahnn,"This is a meta-remake
And it is a poor effort at that. It is too well-aware of itself, and its context, has some seriously strange casting-choices, and is at times shot as it deliberately trying to defuse any tension the scene might have. It is frustrating, because a movie like this could do something good, but it falls flat, and never truly gets up again."
The Godfather,futuretv,"The Godfather Review by Al Carlson

The Godfather is a film considered by most to be one of the greatest ever made. From The American Film Institute to as voted by users on the Internet Movie Database (IMDB) it is consider to be one of the best. As a film that ranks as high as other masterpieces including Citizen Kane, Pulp Fiction and 12 Angry Men, The Godfather is an exceptional piece of cinema excellence that is flawless and is simply the pinnacle crime drama.
The Godfather revolves around the Corleone’s, an Italian family with deep roots in the New York City mafia. The head of the Corleone’s is Don Vito Corleone, a man who takes care of his family and demands respect in return. His son Michael however, who just returned home from World War II, doesn’t want to become involved with the family business. The Sollozzo’s, a family of drug dealers, confront Don and request protection in exchange for profits from the Sollozzo’s drug sales. But Don declines the offer, for he is against selling narcotics. The rejected offer starts what turns into an all out mafia war between the two families with Michael diving deep into the mafia lifestyle.
The characters are portrayed by a legendary all-star cast including Marlon Brando as Don, Al Pacino as his son Michael and James Caan as Don’s oldest son Sonny. The casting for this film has been considered by many to be the best casted film in history for their astonishing performances. All three main actors were nominated for an academy award, but only Marlon Brando won an Oscar for best actor in a leading role. It’s fascinating to watch how these characters change over the course of the movie, with one in particular changing drastically.
Directer Francis Ford Coppola, being raised in an Italian-American family in New York, understood Italian culture exceptionally and made the film very authentically. Everything from the wedding dances to the cuisine to the terms used by the characters in Sicilian come from Coppola’s first-hand knowledge of Italian-American culture. Italian composer Nino Rota did an outstanding job making the soundtrack for the film, despite not getting the Oscar for best music (but he did win an Oscar for his work in the sequel, The Godfather: Part II). Virtually everyone recognizes that iconic trumpet solo once it starts playing. He also wrote the score for another great Italian film 8 1/2. 
This film should be immediately followed up by it’s sequel, The Godfather: Part II, which also won best picture. The series still holds the title of most best picture awards for a film series to this day. They’re both flawless crime dramas and have earned their titles as some of the best pieces of cinema ever. I will guarantee you won’t be able to see this film only once, as it gets better after continual viewings. There is really nothing more to add other than if you haven’t seen this movie yet, it’s about time you did. The Godfather is a movie you can’t refuse."
The Godfather,crastana,"The best movie ever...
A masterpiece by the young and talented Francis Ford Coppola, about a Mob family and their drama, the story telling is perfect, the acting good, sometimes a little over the top in the case of Thalia Shire (the sister of the director)

The 70's were the best years for Hollywood."
The Godfather,drystyx,"While I'm writing this, The Godfather is still beloved by people who love it simply because they are told they have to love it. 
It's written by a mobster with the sole intention of depicting the lead mobsters as demi gods. Every line and every scene in the movie and the book is meant to intimidate people into thinking the ""Mafia"" and really any mob, is a supernatural force.
This is a movie glorifying control freaks, and most critics are control freaks, and most critics are either in the mob or think they can join the mob.
The movie itself is dull and totally uninspiring, not to mention totally uninspired. For fifty years, the sheep have been cowing to the control freaks who tell them to love this movie that degrades them. 
There just isn't anything favorable about this movie. It owes its success to people who have interests in the movie or think they can get brownie points with such people. It's totally Hollywood in its depressing nature, and even in the seventies it was a formula film."
The Godfather,CinemaSerf,"When you get a story written quite this magnificently it would take an extreme amateur to screw it up - and Francis Ford Coppola is no amateur. Marlon Brando, Al Pacino, James Caan and Robert Duvall represent the epitome of guile, sophistication, loyalty, honour and brutality in this self-adapted Mario Puzo story of the unambiguously ambitious ""Corleone"" family - they start with nothing and so the only way is up; however and whatever they need to do to get there. The characterisations are layered and colourful; Diane Keaton has no idea what she's getting herself into! John Cazale is great as the spineless brother ""Fredo"" too. Once again, Nino Rota pulls out all the stops to give this a score that helps cement this film's place as amongst the best ever made. My only criticism, and it is slight at that, is that the audio mix could have done with a bit of a boost. Much of the dialogue - especially from Brando - verges on the inaudible at times."
The Godfather,Surya,Great Movie **Ever**
